Bundesamt für Meteorologie und Klimatologie, MeteoSchweiz
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Stationskürzel
y   Jahr
M   Monat
d   Tag
H   Stunde
m   Minute

Zeitangaben in UTC: 00:40 UTC = 02:40 Sommerzeit
                              = 01:40 Winterzeit

Zeitbezug bei Stundenwerten, sofern in der Parameterbeschreibung nicht anders vermerkt: HH  = (HH-1):01 - HH:00
Beispiel: 13 = beinhaltet Messperiode von 12:01 bis 13:00 

Fehlende Messwerte sind gekenntzeichnet mit '-'

Qualitätsinformationen: Die Legende zu den Qualitätsinformationen ist zu finden unter: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_de.pdf

 




Stationen
---------
stn       Name                                 Parameter        Datenquelle                                        Länge/Breite             Koordinaten [km] Höhe ü. M. [m]
SRG       Sargans I                            mtria59d         MeteoSchweiz                                       9°27'/47°03'             752483/212428    500
SGS       Sargans II                           mtria59d         MeteoSchweiz                                       9°26'/47°03'             752000/213000    480
SNN       Sarnen                               mtria59d         MeteoSchweiz                                       8°15'/46°54'             662000/194000    500
SCR       Schiers                              mtria59d         MeteoSchweiz                                       9°41'/46°58'             771000/204000    800
SCW       Schönenwerd                          mtria59d         MeteoSchweiz                                       7°60'/47°22'             642330/246200    450
SCL       Scuol                                mtria59d         MeteoSchweiz                                       10°18'/46°48'            818132/186554    1240
SEO       Seon                                 mtria59d         MeteoSchweiz                                       8°09'/47°20'             654015/243297    550
SXB       St-Blaise, NE                        mtria59d         MeteoSchweiz                                       6°59'/47°01'             565638/207015    500
STJ       St. Jean, VS                         mtria59d         MeteoSchweiz                                       7°35'/46°12'             611375/116175    1322
SUZ       Sulz, AG                             mtria59d         MeteoSchweiz                                       8°06'/47°32'             649457/264192    430
TUS       Thusis                               mtria59d         MeteoSchweiz                                       9°26'/46°43'             753150/175100    700
TVS       Travers, NE                          mtria59d         MeteoSchweiz                                       6°40'/46°56'             541830/199154    750
TWI       Töss / Winterthur                    mtria59d         MeteoSchweiz                                       8°43'/47°29'             695755/260669    450
UKU       Unterkulm                            mtria59d         MeteoSchweiz                                       8°07'/47°19'             651000/240000    450
VLN       Valangin, NE                         mtria59d         MeteoSchweiz                                       6°54'/47°01'             559579/207373    700
VOR       Vallorbe                             mtria59d         MeteoSchweiz                                       6°23'/46°43'             519000/174000    850
VES       Versoix                              mtria59d         MeteoSchweiz                                       6°08'/46°17'             499708/127389    440
VUF       Vufflens-la-Ville, VD                mtria59d         MeteoSchweiz                                       6°32'/46°35'             531061/158814    470
WDT       Walenstadt                           mtria59d         MeteoSchweiz                                       9°21'/47°06'             744765/219136    452
WAT       Wattwil, SG                          mtria59d         MeteoSchweiz                                       9°06'/47°17'             726000/239000    625
WIL       Wil, SG                              mtria59d         MeteoSchweiz                                       9°03'/47°28'             722000/258000    600
WIB       Wiliberg                             mtria59d         MeteoSchweiz                                       8°02'/47°17'             644540/236690    650
WTH       Winterthur                           mtria59d         MeteoSchweiz                                       8°48'/47°28'             702277/259046    580
WOL       Wolhusen                             mtria59d         MeteoSchweiz                                       8°04'/47°04'             648039/212785    580
WOR       Worb BE                              mtria59d         MeteoSchweiz                                       7°35'/46°55'             610597/197047    600
WYA       Wynau                                mtria59d         MeteoSchweiz                                       7°49'/47°15'             628000/234000    450
WYS       Wyssachen                            mtria59d         MeteoSchweiz                                       7°49'/47°05'             629000/215000    750
ZIZ       Zizers                               mtria59d         MeteoSchweiz                                       9°34'/46°56'             762000/200000    600
ZAL       Zürich-Albisgüetli                   mtria59d         MeteoSchweiz                                       8°31'/47°21'             681000/245000    530
ZHO       Zürich-Hönggerberg                   mtria59d         MeteoSchweiz                                       8°29'/47°25'             679418/252315    540
ZUS       Zürich-Seebach                       mtria59d         MeteoSchweiz                                       8°32'/47°25'             683000/252000    430
ZWI       Zürich-Witikon                       mtria59d         MeteoSchweiz                                       8°35'/47°22'             687000/246000    620

Parameter
---------
          Einheit                              Beschreibung
mtria59d  Datum2                               Weizen - Ährenbildung

